,STATE,1987,1989,1991,1993,1995,1997,1999,2001,2003,2005,2007,2011,2013,2017,2019,2021
0,ANDAMAN AND NICOBAR ISLANDS,7601.0,7622.0,7622.0,7624.0,7615.0,7613.0,7606.0,6930.0,6964.0,6629.0,6662.0,6724.0,6711.0,6742.0,6743.0,6744.0
1,ANDHRA PRADESH,49573.0,47290.0,47290.0,47256.0,47112.0,43290.0,44229.0,44637.0,44419.0,44372.0,45102.0,46389.0,46116.0,48566.0,49719.0,50998.0
2,ARUNACHAL PRADESH,64132.0,69002.0,68757.0,68661.0,68621.0,68602.0,68847.0,68045.0,68019.0,67777.0,67353.0,67410.0,67321.0,66964.0,66688.0,66431.0
3,ASSAM,25160.0,24832.0,24751.0,24508.0,24061.0,23824.0,23688.0,27714.0,27826.0,27645.0,27692.0,27673.0,27671.0,28105.0,28327.0,28312.0
4,BIHAR,28482.0,26668.0,26668.0,26587.0,26561.0,26524.0,26474.0,28357.0,28274.0,28170.0,29698.0,29822.0,30764.0,30852.0,30917.0,31102.0
